"rules","support","confidence","lift"
"{1756-PA72,1794-OB16P} => {1794-ACNR15}",0.0101146325016858,1,74.15
"{1756-L61,1794-ACNR15} => {1756-ENBT}",0.0101146325016858,1,41.1944444444444
"{1756-ENBT,1794-ACNR15} => {1756-L61}",0.0101146325016858,0.9375,57.9296875
"{1756-ENBT,1756-L61} => {1794-ACNR15}",0.0101146325016858,0.882352941176471,65.4264705882353
"{1756-L61,1794-ACNR15} => {1756-CNBR}",0.0101146325016858,1,41.1944444444444
"{1756-CNBR,1794-ACNR15} => {1756-L61}",0.0101146325016858,1,61.7916666666667
"{1756-L61,1794-ACNR15} => {1756-PA72}",0.0101146325016858,1,26.4821428571429
"{1756-PA72,1794-ACNR15} => {1756-L61}",0.0101146325016858,0.9375,57.9296875
"{1756-ENBT,1794-ACNR15} => {1756-CNBR}",0.0101146325016858,0.9375,38.6197916666667
"{1756-CNBR,1794-ACNR15} => {1756-ENBT}",0.0101146325016858,1,41.1944444444444
"{1756-ENBT,1794-ACNR15} => {1786-TPS}",0.0101146325016858,0.9375,36.5871710526316
"{1786-TPS,1794-ACNR15} => {1756-ENBT}",0.0101146325016858,0.882352941176471,36.3480392156863
"{1756-ENBT,1786-TPS} => {1794-ACNR15}",0.0101146325016858,0.882352941176471,65.4264705882353
"{1756-ENBT,1794-ACNR15} => {1756-PA72}",0.0107889413351315,1,26.4821428571429
"{1756-PA72,1794-ACNR15} => {1756-ENBT}",0.0107889413351315,1,41.1944444444444
"{1756-CNBR,1794-ACNR15} => {1756-PA72}",0.0101146325016858,1,26.4821428571429
"{1756-PA72,1794-ACNR15} => {1756-CNBR}",0.0101146325016858,0.9375,38.6197916666667
"{1786-TPS,1794-ACNR15} => {1756-PA72}",0.0101146325016858,0.882352941176471,23.3665966386555
"{1756-PA72,1794-ACNR15} => {1786-TPS}",0.0101146325016858,0.9375,36.5871710526316
"{1794-IE8,1794-OE4} => {1794-TB2}",0.0101146325016858,0.882352941176471,48.4640522875817
"{1794-OE4,1794-TB2} => {1794-IE8}",0.0101146325016858,0.9375,63.1960227272727
"{1794-IE8,1794-TB2} => {1794-OE4}",0.0101146325016858,1,74.15
"{1794-IE8,1794-OE4} => {1756-CNBR}",0.0101146325016858,0.882352941176471,36.3480392156863
"{1756-CNBR,1794-OE4} => {1794-IE8}",0.0101146325016858,1,67.4090909090909
"{1756-CNBR,1794-IE8} => {1794-OE4}",0.0101146325016858,1,74.15
"{1794-IE8,1794-OE4} => {1756-N2}",0.0101146325016858,0.882352941176471,18.4299917149959
"{1756-N2,1794-OE4} => {1794-IE8}",0.0101146325016858,1,67.4090909090909
"{1756-N2,1794-IE8} => {1794-OE4}",0.0101146325016858,1,74.15
"{1756-L61,1794-OB16P} => {1756-ENBT}",0.0101146325016858,1,41.1944444444444
"{1756-ENBT,1794-OB16P} => {1756-L61}",0.0101146325016858,1,61.7916666666667
"{1756-ENBT,1756-L61} => {1794-OB16P}",0.0101146325016858,0.882352941176471,72.6960784313725
"{1756-L61,1794-OB16P} => {1756-CNBR}",0.0101146325016858,1,41.1944444444444
"{1756-CNBR,1794-OB16P} => {1756-L61}",0.0101146325016858,1,61.7916666666667
"{1756-L61,1794-OB16P} => {1756-PA72}",0.0101146325016858,1,26.4821428571429
"{1756-PA72,1794-OB16P} => {1756-L61}",0.0101146325016858,1,61.7916666666667
"{1756-ENBT,1794-OB16P} => {1756-CNBR}",0.0101146325016858,1,41.1944444444444
"{1756-CNBR,1794-OB16P} => {1756-ENBT}",0.0101146325016858,1,41.1944444444444
"{1756-ENBT,1794-OB16P} => {1756-PA72}",0.0101146325016858,1,26.4821428571429
"{1756-PA72,1794-OB16P} => {1756-ENBT}",0.0101146325016858,1,41.1944444444444
"{1756-CNBR,1794-OB16P} => {1756-PA72}",0.0101146325016858,1,26.4821428571429
"{1756-PA72,1794-OB16P} => {1756-CNBR}",0.0101146325016858,1,41.1944444444444
"{1756-L61,1784-CF128} => {1756-CNBR}",0.0114632501685772,0.944444444444444,38.9058641975309
"{1756-CNBR,1784-CF128} => {1756-L61}",0.0114632501685772,1,61.7916666666667
"{1756-CNBR,1756-L61} => {1784-CF128}",0.0114632501685772,0.80952380952381,44.4638447971781
